Pull,Name,Type,ID,Current average,Current highest,Current lowest,Current volume,Cost,Profit
,Isogen,typeID,37,45.0,45.0,39.03,6490418.0,,
,Megacyte,typeID,40,719.7,719.7,719.6,126099.0,,
,Mexallon,typeID,36,139.5,139.7,125.7,35127245.0,,
,Morphite,typeID,11399,83330.0,83330.0,83330.0,1433.0,,
,Nocxium,typeID,38,1367.0,1367.0,1367.0,1525478.0,,
,Pyerite,typeID,35,18.9,19.0,18.9,102563762.0,,
,Tritanium,typeID,34,5.16,5.5,5.15,354919829.0,,
,Zydrine,typeID,39,1600.0,1600.0,1599.0,599798.0,,
y,Assault Damage Control I,typeID,47254,18990.0,18990.0,18990.0,1.0,16759.4,897336700.6
y,Damage Control I,typeID,2046,10945.35,15320.0,9190.0,40.0,13283.099999999999,434250976.9
y,Slasher,typeID,585,421136.36,549950.0,181300.0,11.0,590003.6,8566560196.4
y,Probe,typeID,586,644170.37,720000.0,401000.0,27.0,838201.7999999999,18948015798.2
y,Rifter,typeID,587,477263.16,562500.0,215900.0,19.0,807580.7999999999,10201331019.2
y,Stabber,typeID,622,14858461.54,18000000.0,4080000.0,13.0,18416519.3,192777903480.7
y,Tempest,typeID,639,278900000.0,278900000.0,278900000.0,1.0,292958806.59999996,13178847641193.4
