,Blueprint ID,Material Type,Quantity,Material ID
0,681,materials,86,38
1,681,products,1,165
2,682,materials,133,38
3,682,products,1,166
4,683,products,1,582
5,683,skills,1,3380
6,683,materials,24000,34
7,683,materials,4500,35
8,683,materials,1875,36
9,683,materials,375,37
10,684,products,1,583
11,684,skills,1,3380
12,684,materials,32000,34
13,684,materials,6000,35
14,684,materials,2500,36
15,684,materials,500,37
16,685,products,1,584
17,685,skills,1,3380
18,685,materials,24000,34
19,685,materials,4500,35
20,685,materials,1875,36
21,685,materials,375,37
22,686,products,1,620
23,686,skills,1,3380
24,686,materials,405000,34
25,686,materials,135000,35
26,686,materials,27000,36
27,686,materials,7500,37
28,686,materials,1125,38
29,686,materials,263,39
30,686,materials,105,40
31,687,products,1,621
32,687,skills,1,3380
33,687,materials,540000,34
34,687,materials,180000,35
35,687,materials,36000,36
36,687,materials,10000,37
37,687,materials,1500,38
38,687,materials,350,39
39,687,materials,140,40
40,688,products,1,638
41,688,skills,1,3380
42,688,materials,8000000,34
43,688,materials,4000000,35
44,688,materials,600000,36
45,688,materials,400000,37
46,688,materials,12000,38
47,688,materials,6000,39
48,688,materials,3000,40
49,688,materials,200,57478
50,688,materials,1,57479
51,688,materials,100,57486
52,689,products,1,585
53,689,skills,1,3380
54,689,materials,32000,34
55,689,materials,6000,35
56,689,materials,2500,36
57,689,materials,500,37
58,690,products,1,586
59,690,skills,1,3380
60,690,materials,35200,34
61,690,materials,6600,35
62,690,materials,2750,36
63,690,materials,550,37
64,691,products,1,587
65,691,skills,1,3380
66,691,materials,32000,34
67,691,materials,6000,35
68,691,materials,2500,36
69,691,materials,500,37
70,692,products,1,622
71,692,skills,1,3380
72,692,materials,540000,34
73,692,materials,180000,35
74,692,materials,36000,36
75,692,materials,10000,37
76,692,materials,1500,38
77,692,materials,350,39
78,692,materials,140,40
79,693,products,1,639
80,693,skills,1,3380
81,693,materials,8000000,34
82,693,materials,4000000,35
83,693,materials,600000,36
84,693,materials,400000,37
85,693,materials,12000,38
86,693,materials,6000,39
87,693,materials,3000,40
88,693,materials,200,57478
89,693,materials,1,57479
90,693,materials,100,57486
91,784,products,1,482
92,784,skills,5,3380
93,784,skills,1,11447
94,784,skills,1,11452
95,784,materials,1,11399
96,784,materials,8,3689
97,784,materials,1,483
98,784,materials,5,11541
99,784,materials,3,11689
100,784,materials,1,11482
101,785,products,1,483
102,785,skills,1,3380
103,785,materials,1324,34
104,785,materials,481,35
105,785,materials,119,36
106,786,products,1,499
107,786,skills,1,3380
108,786,materials,471,34
109,786,materials,716,35
110,788,products,1,501
111,788,skills,1,3380
112,788,materials,3258,34
113,788,materials,2926,35
114,788,materials,107,36
115,790,products,1,503
116,790,skills,1,3380
117,790,materials,22,40
118,790,materials,122,34
119,790,materials,1342,35
120,790,materials,9,38
121,790,materials,4,39
122,803,products,100,202
123,803,skills,1,3380
124,803,materials,3084,34
125,803,materials,472,35
126,803,materials,68,36
127,803,materials,4,39
128,804,products,100,203
129,804,skills,1,3380
130,804,materials,1867,34
131,804,materials,144,35
132,804,materials,17,36
133,804,materials,2,38
134,804,materials,4,39
135,805,products,100,204
136,805,skills,1,3380
137,805,materials,1842,34
138,805,materials,707,35
139,805,materials,4,39
140,806,products,100,205
141,806,skills,1,3380
142,806,materials,1447,34
143,806,materials,81,36
144,806,materials,4,37
145,806,materials,2,39
146,807,products,100,206
147,807,skills,1,3380
148,807,materials,351,34
149,807,materials,119,35
150,807,materials,1,38
151,808,products,100,207
152,808,skills,1,3380
153,808,materials,496,34
154,808,materials,220,35
155,808,materials,2,38
156,809,products,100,208
157,809,skills,1,3380
158,809,materials,716,34
159,809,materials,2,35
160,809,materials,6,36
161,809,materials,3,38
162,810,products,100,209
163,810,skills,1,3380
164,810,materials,820,34
165,810,materials,2,38
166,811,products,100,210
167,811,skills,1,3380
168,811,materials,69,34
169,811,materials,43,35
170,811,materials,2,36
171,812,products,100,211
172,812,skills,1,3380
173,812,materials,58,34
174,812,materials,72,35
175,813,products,100,212
176,813,skills,1,3380
177,813,materials,150,34
178,813,materials,18,35
179,813,materials,12,36
180,814,products,100,213
181,814,skills,1,3380
182,814,materials,54,34
183,814,materials,16,35
184,814,materials,6,36
185,819,products,1,484
186,819,skills,1,3380
187,819,materials,231,34
188,819,materials,220,35
189,820,products,1,485
190,820,skills,1,3380
191,820,materials,996,34
192,820,materials,300,35
193,820,materials,2,39
194,821,products,1,486
195,821,skills,1,3380
196,821,materials,1667,34
197,821,materials,144,35
198,821,materials,83,36
199,821,materials,22,37
200,822,products,1,487
201,822,skills,1,3380
202,822,materials,1596,34
203,822,materials,690,35
204,822,materials,144,36
205,823,products,1,488
206,823,skills,1,3380
207,823,materials,2729,34
208,823,materials,148,35
209,823,materials,171,36
210,823,materials,4,39
211,824,products,1,489
212,824,skills,1,3380
213,824,materials,827,34
214,824,materials,598,35
215,824,materials,493,36
216,825,products,1,490
217,825,skills,1,3380
218,825,materials,2,40
219,825,materials,4453,34
220,825,materials,1287,35
221,825,materials,1199,36
222,826,products,1,491
223,826,skills,1,3380
224,826,materials,4529,34
225,826,materials,1643,35
226,826,materials,2413,36
227,826,materials,1,38
228,827,products,1,492
229,827,skills,1,3380
230,827,materials,9089,34
231,827,materials,2786,35
232,827,materials,2827,36
233,827,materials,14,37
234,827,materials,1,38
235,828,products,1,493
236,828,skills,1,3380
237,828,materials,9133,34
238,828,materials,2981,35
239,828,materials,3599,36
240,828,materials,2,37
241,828,materials,18,38
242,829,products,1,494
243,829,skills,1,3380
244,829,materials,8,40
245,829,materials,13684,34
246,829,materials,4117,35
247,829,materials,3851,36
248,829,materials,2,39
249,830,products,1,495
250,830,skills,1,3380
251,830,materials,45551,34
252,830,materials,12150,35
253,830,materials,6060,36
254,830,materials,1596,37
255,830,materials,126,38
256,830,materials,16,39
257,831,products,1,496
258,831,skills,1,3380
259,831,materials,68307,34
260,831,materials,17839,35
261,831,materials,7197,36
262,831,materials,1951,37
263,831,materials,234,38
264,831,materials,12,39
265,831,materials,26,40
266,832,products,1,497
267,832,skills,1,3380
268,832,materials,91067,34
269,832,materials,23527,35
270,832,materials,8613,36
271,832,materials,2294,37
272,832,materials,324,38
273,832,materials,18,39
274,832,materials,52,40
275,833,products,1,498
276,833,skills,1,3380
277,833,materials,113880,34
278,833,materials,29214,35
279,833,materials,9747,36
280,833,materials,2650,37
281,833,materials,411,38
282,833,materials,42,39
283,833,materials,74,40
284,834,products,1,450
285,834,skills,1,3380
286,834,materials,231,34
287,834,materials,220,35
288,835,products,1,451
289,835,skills,1,3380
290,835,materials,1102,34
291,835,materials,113,35
292,835,materials,4,36
293,835,materials,2,38
294,835,materials,2,39
295,836,products,1,452
296,836,skills,1,3380
297,836,materials,1742,34
298,836,materials,6,35
299,836,materials,78,36
300,836,materials,13,37
301,836,materials,2,39
302,837,products,1,453
303,837,skills,1,3380
304,837,materials,1556,34
305,837,materials,1158,35
306,837,materials,3,36
307,837,materials,7,37
308,838,products,1,454
309,838,skills,1,3380
310,838,materials,2200,34
311,838,materials,809,35
312,838,materials,21,36
313,838,materials,4,37
314,838,materials,4,39
315,839,products,1,455
316,839,skills,1,3380
317,839,materials,9,34
318,839,materials,598,35
319,839,materials,493,36
320,840,products,1,456
321,840,skills,1,3380
322,840,materials,2,40
323,840,materials,4453,34
324,840,materials,1287,35
325,840,materials,1199,36
326,841,products,1,457
327,841,skills,1,3380
328,841,materials,4529,34
329,841,materials,1643,35
330,841,materials,2413,36
331,841,materials,1,38
332,842,products,1,458
333,842,skills,1,3380
334,842,materials,9089,34
335,842,materials,2786,35
336,842,materials,2827,36
337,842,materials,14,37
338,842,materials,1,38
339,843,products,1,459
340,843,skills,1,3380
341,843,materials,9133,34
342,843,materials,2981,35
343,843,materials,3599,36
344,843,materials,2,37
345,843,materials,18,38
346,844,products,1,460
347,844,skills,1,3380
348,844,materials,8,40
349,844,materials,13684,34
350,844,materials,4117,35
351,844,materials,3851,36
352,844,materials,2,39
353,845,products,1,461
354,845,skills,1,3380
355,845,materials,45551,34
356,845,materials,12150,35
357,845,materials,6060,36
358,845,materials,1596,37
359,845,materials,126,38
360,845,materials,16,39
361,846,products,1,462
362,846,skills,1,3380
363,846,materials,68307,34
364,846,materials,17839,35
365,846,materials,7197,36
366,846,materials,1951,37
367,846,materials,234,38
368,846,materials,12,39
369,846,materials,26,40
370,847,products,1,463
371,847,skills,1,3380
372,847,materials,91067,34
373,847,materials,23527,35
374,847,materials,8613,36
375,847,materials,2294,37
376,847,materials,324,38
377,847,materials,18,39
378,847,materials,52,40
